Movie name,Year_of_Release,Watch_Time,Genre,Movie_Rating,Metascore of movie,Votes,Gross,Description
American Beauty,1999,122 min,Drama,8.3,84        ,"1,169,955",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Requiem for a Dream,2000,102 min,Drama,8.3,71        ,"857,971",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Scarface,1983,170 min,"Crime,Drama",8.3,65        ,"860,907",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action,Adventure,Fantasy",8.3,58        ,"1,071,941",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
2001: A Space Odyssey,1968,149 min,"Adventure,Sci-Fi",8.3,84        ,"682,049",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
A Clockwork Orange,1971,136 min,"Crime,Sci-Fi",8.3,77        ,"844,376",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama,Romance,Sci-Fi",8.3,89        ,"1,026,808",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
Once Upon a Time in America,1984,229 min,"Crime,Drama",8.3,75        ,"358,653",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Reservoir Dogs,1992,99 min,"Crime,Thriller",8.3,81        ,"1,038,175",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Jagten,2012,115 min,Drama,8.3,77        ,"339,216",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Toy Story,1995,81 min,"Animation,Adventure,Comedy",8.3,96        ,"1,012,852",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
Hamilton,2020,160 min,"Biography,Drama,History",8.3,89        ,"100,197",#107,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Full Metal Jacket,1987,116 min,"Drama,War",8.3,78        ,"755,304",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Up,2009,96 min,"Animation,Adventure,Comedy",8.3,88        ,"1,063,887",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Le fabuleux destin d'Amélie Poulain,2001,122 min,"Comedy,Romance",8.3,69        ,"767,314",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Lawrence of Arabia,1962,218 min,"Adventure,Biography,Drama",8.3,100        ,"299,894",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
Incendies,2010,131 min,"Drama,Mystery",8.3,80        ,"182,674",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
The Sting,1973,129 min,"Comedy,Crime,Drama",8.3,83        ,"268,600",$159.60M,Two grifters team up to pull off the ultimate con.
Citizen Kane,1941,119 min,"Drama,Mystery",8.3,100        ,"448,960",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Mononoke-hime,1997,134 min,"Animation,Action,Adventure",8.3,76        ,"404,337",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Toy Story 3,2010,103 min,"Animation,Adventure,Comedy",8.3,92        ,"851,170",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Vertigo,1958,128 min,"Mystery,Romance,Thriller",8.3,100        ,"409,369",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
To Kill a Mockingbird,1962,129 min,"Crime,Drama",8.3,88        ,"321,180",#110,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
North by Northwest,1959,136 min,"Action,Adventure,Mystery",8.3,98        ,"333,422",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Singin' in the Rain,1952,103 min,"Comedy,Musical,Romance",8.3,99        ,"247,818",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Metropolis,1927,153 min,"Drama,Sci-Fi",8.3,98        ,"177,570",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Jodaeiye Nader az Simin,2011,123 min,Drama,8.3,95        ,"248,667",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Kantara,2022,148 min,"Action,Adventure,Drama",8.3,NA,"94,007",NA,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
Ikiru,1952,143 min,Drama,8.3,91        ,"81,258",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
M - Eine Stadt sucht einen Mörder,1931,117 min,"Crime,Mystery,Thriller",8.3,NA,"161,095",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
The Apartment,1960,125 min,"Comedy,Drama,Romance",8.3,94        ,"185,786",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Dangal,2016,161 min,"Action,Biography,Drama",8.3,NA,"196,227",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Judgment at Nuremberg,1961,179 min,"Drama,War",8.3,60        ,"79,505",#134,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
Taare Zameen Par,2007,165 min,"Drama,Family",8.3,NA,"197,174",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Double Indemnity,1944,107 min,"Crime,Drama,Film-Noir",8.3,95        ,"160,242",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
K.G.F: Chapter 2,2022,168 min,"Action,Crime,Drama",8.3,NA,"138,683",$6.60M,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Ladri di biciclette,1948,89 min,Drama,8.3,NA,"166,839",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Vikram,2022,175 min,"Action,Crime,Thriller",8.3,NA,"63,166",NA,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
